anthology,title,creator,date,startpage
Mouths of Rain: Anthology of Black Lesbian Thought,The Myth and Tradition of the Black Bulldagger,SDiane Bogus,1988,287
Mouths of Rain: Anthology of Black Lesbian Thought,excerpt from _love conjure/blues_,sharon bridgforth,2004,188
Mouths of Rain: Anthology of Black Lesbian Thought,Archiving Black Lesbians in Practice: The Salsa Soul Sisters Archival Collection,Shawn(ta) Smith-Cruz,2018,314
Mouths of Rain: Anthology of Black Lesbian Thought,More Than Human: Black Feminisms of the Future in Jewelle Gomez's _The Gilda Stories_,Susana Morris,2016,318
Mouths of Rain: Anthology of Black Lesbian Thought,Celebrant,Terri Jewell,1994,40
Piece Of My Heart: A Lesbian of Colour Anthology,"Leaving Home, Coming Home",Anette Clough,1991,8
Piece Of My Heart: A Lesbian of Colour Anthology,I Am Your Sister: Black Women Organizing Across Sexualities,Audre Lorde,1985,94
Piece Of My Heart: A Lesbian of Colour Anthology,The Window,Carol Camper,1991,79
Piece Of My Heart: A Lesbian of Colour Anthology,Gaia,Carol Camper,1991,326
Piece Of My Heart: A Lesbian of Colour Anthology,Untitled,Carol Camper,1991,328
Piece Of My Heart: A Lesbian of Colour Anthology,"Saying the Least Said, Telling the Least Told: The Voices of Black Lesbian Writers",Cheryl Clarke,1990,171
Piece Of My Heart: A Lesbian of Colour Anthology,Living as a lesbian on the make,Cheryl Clarke,1986,335
Piece Of My Heart: A Lesbian of Colour Anthology,Great Expectations,Cheryl Clarke,1986,376
Piece Of My Heart: A Lesbian of Colour Anthology,Reaching Across the Void,Christina Springer,1991,11
Piece Of My Heart: A Lesbian of Colour Anthology,Ancestor Song,Christina Springer,1991,139
Piece Of My Heart: A Lesbian of Colour Anthology,Alana,Christina Springer,1991,256
Piece Of My Heart: A Lesbian of Colour Anthology,A Black Girl Thing,Christina Springer,1991,38
Piece Of My Heart: A Lesbian of Colour Anthology,A Time,Debbie Douglas,1991,119
Piece Of My Heart: A Lesbian of Colour Anthology,Hard Against the Soul,Dionne Brand,1990,58
Piece Of My Heart: A Lesbian of Colour Anthology,Tell Me,Donayle L. Hammond,1991,329
