objectid,parentid,anthology,title,creator,date,subject,startpage,genre,publisher,display_template,object_location,image_small,image_thumb,location,latitude,longitude,authorbio,authorborn
blacklesbianauthor211,anthology006,But Some Of Us Are Brave: Black Women's Studies (1ed),A Black Feminist Statement/The Combahee River Collective Statement,Combahee River Collective,1979,,13,manifesto,,image/jpeg,/objects/blacklesbianauthor211.jpeg,/objects/small/blacklesbianauthor211_sm.jpeg,/objects/thumbs/blacklesbianauthor211_th.jpeg,,,,,
blacklesbianauthor001,anthology005,Afrekete: An Anthology of Black Lesbian Writing,Dear Aunt Nanadine,Alexis De Veaux,1982,,79,letter,,image/jpeg,/objects/blacklesbianauthor001.jpeg,/objects/small/blacklesbianauthor001_sm.jpeg,/objects/thumbs/blacklesbianauthor001_th.jpeg,,,,,
blacklesbianauthor002,anthology005,Afrekete: An Anthology of Black Lesbian Writing,Today Is Not the Day,Audre Lorde,1993,,305,poem,,image/jpeg,/objects/blacklesbianauthor002.jpeg,/objects/small/blacklesbianauthor002_sm.jpeg,/objects/thumbs/blacklesbianauthor002_th.jpeg,,,,,
blacklesbianauthor003,anthology005,Afrekete: An Anthology of Black Lesbian Writing,The Old Lady,Carolivia Herron,1994,,101,short story,,image/jpeg,/objects/blacklesbianauthor003.jpeg,/objects/small/blacklesbianauthor003_sm.jpeg,/objects/thumbs/blacklesbianauthor003_th.jpeg,,,,,
blacklesbianauthor004,anthology005,Afrekete: An Anthology of Black Lesbian Writing,Ruby,Cynthia Bond,1994,,229,short story,,image/jpeg,/objects/blacklesbianauthor004.jpeg,/objects/small/blacklesbianauthor004_sm.jpeg,/objects/thumbs/blacklesbianauthor004_th.jpeg,,,,,
blacklesbianauthor005,anthology005,Afrekete: An Anthology of Black Lesbian Writing,Ode to Aretha,Evelyn C. White,1994,,295,ode,,image/jpeg,/objects/blacklesbianauthor005.jpeg,/objects/small/blacklesbianauthor005_sm.jpeg,/objects/thumbs/blacklesbianauthor005_th.jpeg,,,,,
blacklesbianauthor006,anthology005,Afrekete: An Anthology of Black Lesbian Writing,Water Call,Helen Elaine Lee,1994,,49,short story,,image/jpeg,/objects/blacklesbianauthor006.jpeg,/objects/small/blacklesbianauthor006_sm.jpeg,/objects/thumbs/blacklesbianauthor006_th.jpeg,,,,,
blacklesbianauthor007,anthology005,Afrekete: An Anthology of Black Lesbian Writing,Queen for 307 Days,Jackie Goldsby,1993,,165,essay,,image/jpeg,/objects/blacklesbianauthor007.jpeg,/objects/small/blacklesbianauthor007_sm.jpeg,/objects/thumbs/blacklesbianauthor007_th.jpeg,,,,,
blacklesbianauthor008,anthology005,Afrekete: An Anthology of Black Lesbian Writing,"Tuesday, August Third",Jacqueline Woodson,1994,,63,short story,,image/jpeg,/objects/blacklesbianauthor008.jpeg,/objects/small/blacklesbianauthor008_sm.jpeg,/objects/thumbs/blacklesbianauthor008_th.jpeg,,,,,
blacklesbianauthor009,anthology005,Afrekete: An Anthology of Black Lesbian Writing,Kaleidoscope,Jamika Ajalon,1994,,139,letter,,image/jpeg,/objects/blacklesbianauthor009.jpeg,/objects/small/blacklesbianauthor009_sm.jpeg,/objects/thumbs/blacklesbianauthor009_th.jpeg,,,,,
blacklesbianauthor010,anthology005,Afrekete: An Anthology of Black Lesbian Writing,Wink of an Eye,Jewelle Gomez,1993,,125,essay,,image/jpeg,/objects/blacklesbianauthor010.jpeg,/objects/small/blacklesbianauthor010_sm.jpeg,/objects/thumbs/blacklesbianauthor010_th.jpeg,,,,,
blacklesbianauthor011,anthology005,Afrekete: An Anthology of Black Lesbian Writing,Testimony of a Naked Woman,Jocelyn Maria Taylor,1994,,29,essay,,image/jpeg,/objects/blacklesbianauthor011.jpeg,/objects/small/blacklesbianauthor011_sm.jpeg,/objects/thumbs/blacklesbianauthor011_th.jpeg,,,,,
blacklesbianauthor012,anthology005,Afrekete: An Anthology of Black Lesbian Writing,Revelations,Linda Villarosa,1995,,215,essay,,image/jpeg,/objects/blacklesbianauthor012.jpeg,/objects/small/blacklesbianauthor012_sm.jpeg,/objects/thumbs/blacklesbianauthor012_th.jpeg,,,,,
blacklesbianauthor013,anthology005,Afrekete: An Anthology of Black Lesbian Writing,What Has Yet to Be Sung,Malkia Cyril,1992,,97,poem,,image/jpeg,/objects/blacklesbianauthor013.jpeg,/objects/small/blacklesbianauthor013_sm.jpeg,/objects/thumbs/blacklesbianauthor013_th.jpeg,,,,,
