Title,FirstName,LastName,Genre,Anthology01,Anth01Year,Anth01StartPage,Anth01Editor,Anth01Press,Anthology02,Anth02Year,Anth02StartPage,Anth02Editor,Anth02Press,Anthology03,Anth03Year,Anth03StartPage,Anth02Editor,Anth03Press,AuthorBio,AuthorBorn,AuthorPhoto
Casselberry Harvest,Leleti,Tamu,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,27,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Making Love on Canvas,Leleti,Tamu,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,28,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Wrap Around Joy,Leleti,Tamu,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,332,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Expectations,Leleti,Tamu,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,333,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Meditation on LOC Sisterhood,Skye,Ward,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,105,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
I Too Like to Eat Out,Laura Irene,Wayne,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,310,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Kaleidoscope,Jamika,Ajalon,,Afrekete: An Anthology of Black Lesbian Writing,1995,139,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Ruby,Cynthia,Bond,,Afrekete: An Anthology of Black Lesbian Writing,1995,229,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Screen Memory,Michelle,Cliff,,Afrekete: An Anthology of Black Lesbian Writing,1995,195,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
What Has Yet to Be Sung,Malkia,Cyril,,Afrekete: An Anthology of Black Lesbian Writing,1995,97,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Dear Aunt Nanadine,Alexis,De Veaux,,Afrekete: An Anthology of Black Lesbian Writing,1995,79,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Queen for 307 Days,Jackie,Goldsby,,Afrekete: An Anthology of Black Lesbian Writing,1995,165,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Work of an Eye,Jewelle,Gomez,,Afrekete: An Anthology of Black Lesbian Writing,1995,125,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
The Old Lady,Carolivia,Herron,,Afrekete: An Anthology of Black Lesbian Writing,1995,101,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Dare,Melanie,Hope,,Afrekete: An Anthology of Black Lesbian Writing,1995,255,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Water Call,Helen Elaine,Lee,,Afrekete: An Anthology of Black Lesbian Writing,1995,49,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Today Is Not the Day,Audre,Lorde,,Afrekete: An Anthology of Black Lesbian Writing,1995,305,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Take Care,Sharee,Nash,,Afrekete: An Anthology of Black Lesbian Writing,1995,271,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Odds and Ends,Michelle,Parkerson,,Afrekete: An Anthology of Black Lesbian Writing,1995,89,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Testimony of a Naked Woman,Jocelyn Maria,Taylor,,Afrekete: An Anthology of Black Lesbian Writing,1995,29,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Revelations,Linda,Villarosa,,Afrekete: An Anthology of Black Lesbian Writing,1995,215,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Ode to Aretha,Evelyn C.,White,,Afrekete: An Anthology of Black Lesbian Writing,1995,295,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
"Tuesday, August Third",Jacqueline,Woodson,,Afrekete: An Anthology of Black Lesbian Writing,1995,63,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
American Dream,Sapphire,,,Afrekete: An Anthology of Black Lesbian Writing,1995,19,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Lavender Sheep in the Fold,Donna,Allegra,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,149,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
we will not talk about this,Eva Yaa,Asantewaa ,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,281,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
A Path to Wholenesss,Martine C.,Barbier,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,21,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
It Happened One Sunday Afternoon,L.K.,Barnett,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,139,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
"Black Triangles, Rainbows and Dykes",L.K.,Barnett,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,67,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Johnnieruth,Becky,Birtha,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,143,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
that beat,sharon,bridgforth,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,227,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Pure,Tonia,Bryan,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,213,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
"The Words I Know, the Way I Understand",Tonia,Bryan,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,249,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
I Guess I Never Will,Tonda,Clarke,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,117,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Mavis writes in her journal,Cheryl,Clarke,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,185,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Bird of Paradise,Alexis,De Veaux,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,45,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Bed of Thorns,"Gale ""Sky""",Edeawo,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,41,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
Long Way Home,Tiffany,Frazier,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,165,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
The Woman in Me,Roxanne,Gay,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,245,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
When I Was a Little Girl,Lena Nsomeka,Gomes,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,283,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
I Lost It at the Movies,Jewelle,Gomez,,does your mama know? An Anthology of Black Lesbian Coming Out Stories,1997,123,Lisa C. Moore,RedBone Press,,,,,,,,,,,,,
