objectid,title,authorname,yearfirstpublished,display_template,subject,location,latitude,longitude,object_location,anthology01,anth01year,anth01startpage,anth01editor,anth01press,anthology02,anth02year,anth02startpage,anth02editor,anth02press,anthology03,anth03year,anth03startpage,Anth02Editor,anth03press,authorbio,authorborn,authorphoto
blacklesbianauthor078,Tar Beach,Audre Lorde,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,145,Barbara Smith,Kitchen Table: Women of Color Press,Afrekete: An Anthology of Black Lesbian Writing,1995,1,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,
blacklesbianauthor079,Introduction,Barbara Smith,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,-19,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor080,Home,Barbara Smith,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,64,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor081,Miss Esther's Land,Barbara A.  Banks,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,179,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor082,Maria de las Rosas,Becky Birtha,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,177,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor083,The Wedding,Beverly Smith,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,171,Barbara Smith,Kitchen Table: Women of Color Press,Mouths of Rain: Anthology of Black Lesbian Thought,2021,97,Briona Simone Jones,The New Press,,,,,,,,
blacklesbianauthor084,"The Blood—Yes, The Blood: A Conversation",Cenen; Barbara Smith,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,31,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor085,The Failure to Transform: Homophobia in the Black Community,Cheryl Clarke,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,197,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor086,Women of Summer,Cheryl Clarke,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,230,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor087,Billy de Lye,Deidre McCalla,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,270,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor088,Before I Dress and Soar Again,Donna Allegra,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,166,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor089,A Cultural Legacy Denied and Discovered: Black Lesbians in Fiction by Women,Jewelle Gomez,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,110,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor090,Cat,Julie Carter,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,159,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor091,The Black Goddess,Kate Rushin,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,328,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor092,"If I Could Write This in Fire, I Would Write This in Fire ",Michelle Cliff,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,15,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor093,Where Will You Be?,Pat Parker,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,209,Barbara Smith,Kitchen Table: Women of Color Press,Afrekete: An Anthology of Black Lesbian Writing,1995,189,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,
blacklesbianauthor094,LeRoy's Birthday,Raymina Y. Mays,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,168,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor095,Black Lesbian/Feminist Organizing: A Conversation,Tania Abdulahad; Gwendolyn Rogers; Barbara Smith; Jameelah Waheed,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,293,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor096,"For a Godchild, Regina, On the Occasion of Her First Love",Toi Derricotte,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,3,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor097,The Damned,Toi Derricotte,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,6,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor098,Hester's Song,Toi Derricotte,,record,,,,,,Home Girls: A Black Feminist Anthology ,1983,8,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
blacklesbianauthor099,Angelina Weld Grimké: (1880-1958),Akasha Gloria T. Hull,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,104,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor100,Interspecies,Alexis De Veaux,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,137,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor101,Mouths of Rain: Be Opened,Alexis Pauline Gumbs,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,-19,Briona Simone Jones,The New Press,,,,,,,,,,,,,
